num_games,num_players,impostor_agent,innocent_agent,discussion,start_location
10,4,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,TRUE,random
10,4,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,TRUE,random
